Instancia,T1,T2.1,T2.2,T3,T4
1,JVG (Juan Vidal García),HYV (Helena Yuste Vidal),MDS (Manuel Díaz Sánchez),PGR (Pedro Gómez Ruiz),MFE (María Fernández Espinosa)
2,JVG (Juan Vidal García),GTR (Gabriel Torres Ramírez),MDS (Manuel Díaz Sánchez),PGR (Pedro Gómez Ruiz),HJR (Helena Jiménez Ruiz)
3,JVG (Juan Vidal García),LPG (Laura Pérez Gil),HYV (Helena Yuste Vidal),PGR (Pedro Gómez Ruiz),PTS (Pablo Torres Soto)
4,JVG (Juan Vidal García),RGB (Raúl Gómez Blanco),HYV (Helena Yuste Vidal),PGR (Pedro Gómez Ruiz),IHP (Irene Herrera Pérez)
5,JVG (Juan Vidal García),BJC (Beatriz Jiménez Calderón),MDS (Manuel Díaz Sánchez),PGR (Pedro Gómez Ruiz),MFE (María Fernández Espinosa)
6,JVG (Juan Vidal García),GTR (Gabriel Torres Ramírez),MDS (Manuel Díaz Sánchez),PGR (Pedro Gómez Ruiz),HJR (Helena Jiménez Ruiz)
7,JVG (Juan Vidal García),LPG (Laura Pérez Gil),HYV (Helena Yuste Vidal),PGR (Pedro Gómez Ruiz),PTS (Pablo Torres Soto)
8,JVG (Juan Vidal García),RGB (Raúl Gómez Blanco),HYV (Helena Yuste Vidal),PGR (Pedro Gómez Ruiz),IHP (Irene Herrera Pérez)
9,JVG (Juan Vidal García),BJC (Beatriz Jiménez Calderón),MDS (Manuel Díaz Sánchez),PGR (Pedro Gómez Ruiz),MFE (María Fernández Espinosa)
10,JVG (Juan Vidal García),GTR (Gabriel Torres Ramírez),MDS (Manuel Díaz Sánchez),PGR (Pedro Gómez Ruiz),HJR (Helena Jiménez Ruiz)
11,JVG (Juan Vidal García),GTR (Gabriel Torres Ramírez),MDS (Manuel Díaz Sánchez),PGR (Pedro Gómez Ruiz),PTS (Pablo Torres Soto)
12,JVG (Juan Vidal García),LPG (Laura Pérez Gil),HYV (Helena Yuste Vidal),PGR (Pedro Gómez Ruiz),IHP (Irene Herrera Pérez)
13,JVG (Juan Vidal García),RGB (Raúl Gómez Blanco),HYV (Helena Yuste Vidal),PGR (Pedro Gómez Ruiz),MFE (María Fernández Espinosa)
14,JVG (Juan Vidal García),BJC (Beatriz Jiménez Calderón),HYV (Helena Yuste Vidal),PGR (Pedro Gómez Ruiz),HJR (Helena Jiménez Ruiz)
15,JVG (Juan Vidal García),LPG (Laura Pérez Gil),MDS (Manuel Díaz Sánchez),PGR (Pedro Gómez Ruiz),PTS (Pablo Torres Soto)
16,JVG (Juan Vidal García),GTR (Gabriel Torres Ramírez),MDS (Manuel Díaz Sánchez),PGR (Pedro Gómez Ruiz),IHP (Irene Herrera Pérez)
17,JVG (Juan Vidal García),RGB (Raúl Gómez Blanco),HYV (Helena Yuste Vidal),PGR (Pedro Gómez Ruiz),MFE (María Fernández Espinosa)
18,JVG (Juan Vidal García),BJC (Beatriz Jiménez Calderón),HYV (Helena Yuste Vidal),PGR (Pedro Gómez Ruiz),HJR (Helena Jiménez Ruiz)
19,JVG (Juan Vidal García),LPG (Laura Pérez Gil),MDS (Manuel Díaz Sánchez),PGR (Pedro Gómez Ruiz),PTS (Pablo Torres Soto)
20,JVG (Juan Vidal García),GTR (Gabriel Torres Ramírez),MDS (Manuel Díaz Sánchez),PGR (Pedro Gómez Ruiz),IHP (Irene Herrera Pérez)
